,Crop,N,P,K
1770,Lentils(Masoor Dal),20,60,20
1771,Brinjal,80,15,40
1772,Beetroot,120,50,100
1773,Bitter Gourd,60,10,20
1774,Bottle Gourd,100,50,50
1775,Capsicum,100,20,60
1776,Cabbage,100,65,70
1777,Carrot,40,45,60
1778,Cauliflower,80,70,50
1779,Cucumber,60,60,85
1780,Coriander leaves,10,20,20
1781,Curry leaves,20,20,20
1782,Drumstick – moringa,40,20,10
1783,Chili,120,20,80
1784,Lady Finger,80,10,40
1785,Mushroom,100,50,60
1786,Onion,120,60,65
1787,Potato,180,60,90
1788,Pumpkin,80,50,30
1789,Radish,25,100,50
1790,Olive,100,60,30
1791,Sweet Potato,90,20,120
1792,Fenugreek Leaf(methi),30,25,40
1793,Spinach,60,60,50
1794,Ridgegourd,90,50,20
1795,Gooseberry(Amla),20,50,20
1796,Jambun(Syzygium cumini),10,10,10
1797,Ziziphus mauritiana(Bor),20,10,10
1798,Garcinia indica(kokam),40,25,50
1799,Tamarind,20,15,25
1800,Tapioca(Suran),50,50,50
1801,Garlic,50,10,60
1802,Lemon,20,10,10
1803,Tomato,100,40,90
1804,Ash Gourd,60,10,30
1805,Pineapple,160,40,120
1806,Pomegranate,20,10,40
1807,Banana,100,75,50
1808,Mango,20,20,30
1809,Grapes,20,125,200
1810,Jackfruit,75,40,50
1811,Guava,50,50,50
1812,Water Melon,100,10,50
1813,Musk Melon,100,10,50
1814,Apricot,40,50,25
1815,Apple,20,125,200
1816,Chickoo,40,30,60
1817,Custard apple,40,20,40
1818,Dates,40,125,20
1819,Figs,20,60,20
1820,Orange,20,10,10
1821,Papaya,50,50,50
1822,Aniseed,100,50,20
1823,Asafoetida,90,40,20
1824,Bay Leaf,100,50,25
1825,Black Pepper,100,60,50
1826,Cardamom,75,75,150
1827,Cinnamon,20,20,25
1828,Cloves,20,20,60
1829,Jaiphal(Nutmeg),20,20,60
1830,Ginger,40,50,20
1831,Turmeric,25,60,100
1832,Cashewnuts,70,40,60
1833,Raisins,60,30,30
1834,Coconut,20,10,30
1835,Almond Nut,70,20,10
1836,Arecanut,100,40,140
1837,Pistachio Nut,90,20,20
1838,Lemon Grass,25,40,40
1839,Cotton,120,40,20
1840,Jute,80,40,40
1841,Coffee,100,20,30
1842,Sunflower,50,60,30
